Category,Fuel,Segment,Euro Standard,Technology,Pollutant,Mode,Road Slope,Load,Min Speed [km/h],Max Speed [km/h],Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,Reduction Factor [%],Bio Reduction Factor [%],40,EF [g/km] or ECF [MJ/km]
Passenger Cars,Petrol,Mini,Euro 6 2020+,GDI+GPF,EC,,,,5.0,130.0,0.0050823704040405,-0.2720371338060150,17.9186136039889000,0.0000000000003375,0.0008372940477115,0.0971261095345315,3.7213068787177500,0.0%,0.0%,40,1.6956
Passenger Cars,Petrol,Small,PRE ECE,,EC,,,,10.0,130.0,0.0006900973095142,-0.0761274068932322,3.0137283450793900,45.5764697402031000,0.0001670305510955,-0.0191365533073810,1.2489401512979100,0.0%,0.0%,40,2.9467
Passenger Cars,Petrol,Small,ECE 15/00-01,,EC,,,,10.0,130.0,0.0008733700926148,-0.1121864655963280,8.5131847229590400,84.8873032742552000,-0.0000852455843978,0.0162117300917882,2.4595168931827800,0.0%,0.0%,40,2.5391
Passenger Cars,Petrol,Small,ECE 15/02,,EC,,,,10.0,130.0,0.0018971050999414,-0.1255977550443180,22.8490074871493000,50.4565662453306000,-0.0009963382148189,0.2032495362548850,2.8859611400755900,0.0%,0.0%,40,2.3479
Passenger Cars,Petrol,Small,ECE 15/03,,EC,,,,10.0,130.0,0.0018971050999414,-0.1255977550443180,22.8490074871493000,50.4565662453306000,-0.0009963382148189,0.2032495362548850,2.8859611400755900,0.0%,0.0%,40,2.3479
Passenger Cars,Petrol,Small,ECE 15/04,,EC,,,,10.0,130.0,-0.0005633139087297,0.0987171656571153,1.9369918681371500,-18.6256908014546000,-0.0005541516430940,0.0905574024966980,-0.6477440349320440,0.0%,0.0%,40,2.1642
Passenger Cars,Petrol,Small,Improved Conventional,,EC,,,,10.0,130.0,0.0673923747804636,-7.3094806492656400,417.4180013325320000,-0.0000000000433962,-0.0000000000000003,0.0000000000000563,118.4271217907050000,0.0%,0.0%,40,1.9663
Passenger Cars,Petrol,Small,Open Loop,,EC,,,,10.0,130.0,0.0550818289231337,-6.5109546496939400,402.7564499494730000,0.0000000609201761,0.0000000000001509,-0.0000000000558635,107.5489703027950000,0.0%,0.0%,40,2.1427
Passenger Cars,Petrol,Small,Euro 1,,EC,,,,5.0,130.0,0.0000000000000049,0.0748169603286574,12.1983738788344000,0.0000000000275617,-0.0010575765380685,0.1887854426061320,1.4627614634482100,0.0%,0.0%,40,2.0747
Passenger Cars,Petrol,Small,Euro 2,,EC,,,,5.0,130.0,0.0012058890063839,-0.0476767169682851,17.5002225972279000,0.0000000000219296,-0.0009632190631868,0.2055991071112660,1.9264381263800200,0.0%,0.0%,40,2.0353
Passenger Cars,Petrol,Small,Euro 3,GDI,EC,,,,5.0,130.0,0.0004824870970817,0.0404481579668006,16.3956381803513000,0.0000000000242217,-0.0009984064069910,0.2049825543564290,2.2088637322918600,0.0%,0.0%,40,2.1321
Passenger Cars,Petrol,Small,Euro 3,PFI,EC,,,,5.0,130.0,0.0004824870970817,0.0404481579668006,16.3956381803513000,0.0000000000242217,-0.0009984064069910,0.2049825543564290,2.2088637322918600,0.0%,0.0%,40,2.1321
